,Datetime,Tweet Id,Text,Username
0,2021-07-29 23:49:43+00:00,1420894337831948297,Y siguen @MovistarPeru  con esto. Nadie migro a nada. https://t.co/ZqNiI0Bllw,MariAleAlways
1,2021-07-29 23:30:43+00:00,1420889553305579521,@IndecopiOficial toma cartas en el asunto con @MovistarPeru son unos incompetentes...,pachidesi
2,2021-07-29 23:30:04+00:00,1420889389991874563,@MovistarPeru te dicen que te ayudarán y luego te mandan un robot.... El. Colmo https://t.co/4ZtNih9MCi,pachidesi
3,2021-07-29 23:27:06+00:00,1420888646379622401,"@Magaly_Vasquez @MovistarPeru Magaly es un infierno movistar, es una verguenza!!!",sebastiano911
4,2021-07-29 23:20:46+00:00,1420887051055009795,"Tengo 3 reportes de averias no cumplidos y hoy me dan uno nuevo por que tampoco van a cumplir con la tercera, cuantos dias mas debo esperar hasta que arreglen el internet de mi casa??? @MovistarPeru",Magaly_Vasquez
5,2021-07-29 23:19:06+00:00,1420886629900750852,"@JosueParodi @MovistarPeru Creo q en este gobierno de inclusion por el que votaste ya no habra mas de esos comerciales, al premier no le gusta 🤭🤭 https://t.co/YNNBbHRkhR",cmam2704
6,2021-07-29 23:18:02+00:00,1420886365403820036,No pues que colera.. @MovistarPeru aqui nadie pidio mas internet. https://t.co/GGFftbb8vd,MariAleAlways
7,2021-07-29 23:16:00+00:00,1420885850011877377,@MovistarPeru @OSIPTEL @IndecopiOficial No tengo servicio de cable,FernandoLagunas
8,2021-07-29 23:05:51+00:00,1420883297551495174,". @MovistarPeru no me corten asi pues. Quiero saber que migracion , si ayer la titular ni hablo .. ahora me envian bots https://t.co/xvcEK9GZKI",MariAleAlways
9,2021-07-29 23:05:34+00:00,1420883224541155329,@MovistarPeru siempre con su propaganda engañosa. Nunca dan soluciones y para cobrar si son buenos...,pachidesi
10,2021-07-29 23:04:55+00:00,1420883062880100353,"@MovistarPeru No sirve!
Te cobran y no te dan soluciones, deberían denunciar @IndecopiOficial",pachidesi
11,2021-07-29 22:31:53+00:00,1420874751350878208,"@MovistarPeru @OSIPTEL @IndecopiOficial señores Movistar a pesar que no tengo servicio de Internet,tampoco tengo señal de cable,hasta cuando? https://t.co/NW3wiUOT21",FernandoLagunas
12,2021-07-29 22:28:15+00:00,1420873835335897096,@MovistarPeru cuándo podrán responder un reclamo adecuadamente? Cc @IndecopiOficial https://t.co/CHcrEGNxC2,JamVeg
13,2021-07-29 22:14:07+00:00,1420870279174184960,@mauricciorebaza @PedroCastilloTe @MovistarPeru JAJA,Harriso72035390
14,2021-07-29 21:47:30+00:00,1420863580983939079,cada día @ClaroPeru te pareces igual que a @MovistarPeru,ipurplewings
15,2021-07-29 21:35:49+00:00,1420860639355015168,@PatriSaenz @MovistarPeru @movistartotal @IndecopiOficial Me@paso lo mismo!!! No compren ningún paquete de @MovistarPeru !!!,abaivonne
16,2021-07-29 21:33:20+00:00,1420860015477411847,Todos deberían denunciar @MovistarPeru  por hacer propaganda engañosa y dar mal trato y cobros de más al cliente!!! @IndecopiOficial es una basura @MovistarPeru,pachidesi
